i,env.env.aviary.elapsed_time,agent,act,rewards,termination,truncation,info,model,num_agents,posx,posy,posz,all_start_pos,agent_start_pos,obs
0,0.5416666666666666,player_2,[ 0.46039382  1.43355024 -0.06193861  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,0.12091600504944877,-1.4873392286928921,0.005614310673924804,"[[ 0.12106125 -1.48644126  1.24786058]
 [ 1.12873633  0.97029249  1.44141775]
 [ 0.14617464  0.49079035  0.25676358]]",[0.14617464 0.49079035 0.25676358],"[ 7.66587004e-02  1.02490953e-01 -1.22873509e-03 -3.66151340e-03
 -4.90121184e-03  4.53459561e-01  1.42990568e-03 -1.08724342e-03
  9.13029445e-02  1.20916005e-01 -1.48733923e+00  5.61431067e-03
  4.19169441e-02 -1.70330569e-01 -6.73427701e-01  0.00000000e+00
  6.13416721e-02  5.16712248e-02  1.12193922e-01  8.62823337e-02
  1.45243574e-04  8.97963773e-04  1.24224627e+00]"
1,0.06666666666666667,player_2,[-0.0670385  -0.13073535 -1.42863488  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,0.8205599709678127,0.8413503420455218,0.8694679981110995,"[[ 0.82056083  0.8413534   0.88691119]
 [ 1.37987224 -1.79679664  0.85080949]
 [-0.45877195 -0.19178845  0.02508583]]",[-0.45877195 -0.19178845  0.02508583],"[ 1.03241071e-01  3.26506029e-03 -3.21661673e+00  5.85564617e-03
  1.27598093e-04 -8.61993139e-02  4.33860516e-05 -3.18338401e-03
 -5.11438562e-01  8.20559971e-01  8.41350342e-01  8.69467998e-01
  4.11133394e-02  4.54376042e-02 -2.88732195e+00  0.00000000e+00
  1.30165093e-01  1.22554895e-01  5.04802581e-02  6.08412558e-02
  8.58543535e-07  3.06132406e-06  1.74431880e-02]"
2,0.39166666666666666,player_2,[-0.61955553 -0.72457993 -2.44870496  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,1.6794698621228346,-0.6888340139002326,0.8332223199294052,"[[ 1.67956082 -0.68837364  1.52975357]
 [ 1.88758652 -1.18624639  0.66647247]
 [ 1.01764266  1.4807719   1.41275889]]",[1.01764266 1.4807719  1.41275889],"[ 1.10964534e-01 -9.59544238e-02 -4.03660596e-02  1.09648968e-02
 -6.99416814e-03  3.44340208e-01 -2.62230014e-02 -4.12648978e-02
 -3.55415182e+00  1.67946986e+00 -6.88834014e-01  8.33222320e-01
  1.81510091e-01 -2.78818488e-01 -2.29952335e-01  0.00000000e+00
  1.13717237e-01  1.01503361e-01  7.28190543e-02  5.12785644e-02
  9.09623116e-05  4.60373374e-04  6.96531247e-01]"
3,3.8916666666666666,player_2,[-0.10447054 -0.06614982  0.35948351  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-2.1370417592065944,0.3910253643152313,0.4805081352579911,"[[-1.99264204  0.411557    0.72033921]
 [ 0.39984513  1.52157729  0.51760916]
 [-0.3041184  -0.53292996  0.27881482]]",[-0.3041184  -0.53292996  0.27881482],"[-0.05930726 -0.12488752 -1.22568313 -0.0027212   0.00902352 -1.04025291
 -0.03292096 -0.02860315 -0.28948477 -2.13704176  0.39102536  0.48050814
 -0.24961483 -0.38911575 -0.79927748  0.          0.08787824  0.04849988
  0.14654078  0.13478299  0.14439972  0.02053164  0.23983107]"
4,1.725,player_2,[-0.3765412  -0.05222452  0.88091052  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-0.8515546144995533,1.1525956679855853,1.1580606979115224,"[[-0.7830676   1.21007238  1.30671244]
 [-1.51578003 -1.27792585  1.58448375]
 [ 1.37948619  0.27068697  0.56967187]]",[1.37948619 0.27068697 0.56967187],"[ 0.05079815  0.42206042  1.13576393  0.01753363 -0.00868426 -1.10355186
  0.0091673  -0.08126276 -0.62043725 -0.85155461  1.15259567  1.1580607
 -0.15223861  0.10074182  1.61509717  0.          0.09720699  0.05233569
  0.23480062  0.24055127  0.06848701  0.05747671  0.14865174]"
5,0.49166666666666664,player_2,[ 0.04139445  0.23991463 -2.46754694  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-1.2291961801699274,-1.6720952845046562,0.003721183261824666,"[[-1.22943803 -1.67112626  1.06297298]
 [ 0.35986926 -1.10228327  1.27754566]
 [ 1.49322919  0.43775828  0.41159802]]",[1.49322919 0.43775828 0.41159802],"[ 1.55311023e-01  1.44404560e-01 -2.64169411e-03 -7.42541697e-03
 -6.94955304e-03  4.12582136e-01  2.26326765e-03 -2.47368739e-03
  1.30802500e-01 -1.22919618e+00 -1.67209528e+00  3.72118326e-03
 -1.39955506e-02  7.91112036e-02 -5.36849141e-01  0.00000000e+00
  4.88270870e-02  5.90471290e-02  5.92185983e-02  6.74350923e-02
 -2.41845301e-04  9.69028631e-04  1.05925180e+00]"
6,0.6333333333333333,player_2,[ 0.29359451 -0.05011304 -1.14234424  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-1.3118471909347178,0.8420933531848221,0.2186466772528473,"[[-1.30773991  0.84512756  0.18886347]
 [ 1.86925667 -1.37259466  1.68989461]
 [ 1.50343278  0.44985612  1.64735396]]",[1.50343278 0.44985612 1.64735396],"[-1.58405976e-01  4.39920695e-01 -3.29800424e-01  1.14278252e-03
 -1.22283957e-03 -9.62968172e-01 -3.49310293e-03 -2.88872278e-02
 -1.86718387e-02 -1.31184719e+00  8.42093353e-01  2.18646677e-01
 -2.41067931e-02  7.27598906e-01 -1.10097758e-01  0.00000000e+00
  5.27064375e-02  9.38404441e-02  9.57098569e-02  1.22940255e-01
  4.10728262e-03  3.03420642e-03 -2.97832028e-02]"
7,0.31666666666666665,player_2,[-0.05065271  0.13089377  0.59478271  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-0.3093142012171393,-0.05714698504335647,0.9496378958830234,"[[-0.31181804 -0.0556314   0.96003115]
 [ 1.56747146 -0.19288651  1.28323625]
 [ 0.52092595 -1.36968206  0.41944178]]",[ 0.52092595 -1.36968206  0.41944178],"[-4.23924370e-01  2.39529393e-01 -4.26905117e+00  7.32205667e-03
 -2.03303524e-02 -5.16736986e-01  1.33001048e-02 -1.68072614e-02
  4.59836028e-01 -3.09314201e-01 -5.71469850e-02  9.49637896e-01
 -3.07072729e-01  2.78304011e-01 -2.63758689e-01  0.00000000e+00
  2.12698672e-01  2.89761867e-01  3.17226511e-01  3.43374549e-01
 -2.50383950e-03  1.51558409e-03  1.03932514e-02]"
8,10.041666666666666,player_2,[ 1.00690341  0.21254124 -0.03609871  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",False,True,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-1.731574133482449,2.329447350091686,0.6371331907256458,"[[-1.46808003  1.96142953  1.0639058 ]
 [-1.14247653  0.82571163  0.55109527]
 [ 0.97298401  1.9791299   1.18588829]]",[0.97298401 1.9791299  1.18588829],"[-1.02360996e-02 -1.90910010e-01  3.77776346e-01 -3.61988451e-03
  9.28454136e-04 -1.15088744e+00 -4.38444195e-02  1.74869107e-02
  1.64045076e-01 -1.73157413e+00  2.32944735e+00  6.37133191e-01
  1.21651702e-01  1.16231240e-01 -3.19652587e-01  0.00000000e+00
  1.05896136e-01  1.33296899e-01  8.26123308e-02  9.49350199e-02
  2.63494104e-01 -3.68017822e-01  4.26772606e-01]"
9,10.041666666666666,player_2,[ 0.37884834  0.31948301 -0.19187471  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",False,True,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-1.0809102164865692,0.9486788157141082,0.5850856752368209,"[[-0.4227877   1.20692181  0.07970361]
 [-1.75160497  1.25495333  0.68595043]
 [ 1.320068    0.82312744  1.99218828]]",[1.320068   0.82312744 1.99218828],"[-0.01679049 -0.15304393  0.34738872  0.00341245  0.00548891 -0.90678784
 -0.06184482 -0.07116153 -0.59722749 -1.08091022  0.94867882  0.58508568
 -0.05767119 -0.19443406  2.05666971  0.61182678  0.36960583  0.33826342
  0.53535828  0.49438338  0.65812252  0.25824299 -0.50538206]"
